Block Name	Row ID	avg(attribute)	avg(displacement (0))	avg(displacement (1))	avg(displacement (2))	avg(displacement (Magnitude))	avg(strain(z,z))	avg(vtkOriginalPointIds)	avg(vtkValidPointMask)	avg(X)	avg(Y)	avg(Z)	max(attribute)	max(displacement (0))	max(displacement (1))	max(displacement (2))	max(displacement (Magnitude))	max(strain(z,z))	max(vtkOriginalPointIds)	max(vtkValidPointMask)	max(X)	max(Y)	max(Z)	med(attribute)	med(displacement (0))	med(displacement (1))	med(displacement (2))	med(displacement (Magnitude))	med(strain(z,z))	med(vtkOriginalPointIds)	med(vtkValidPointMask)	med(X)	med(Y)	med(Z)	min(attribute)	min(displacement (0))	min(displacement (1))	min(displacement (2))	min(displacement (Magnitude))	min(strain(z,z))	min(vtkOriginalPointIds)	min(vtkValidPointMask)	min(X)	min(Y)	min(Z)	N	q1(attribute)	q1(displacement (0))	q1(displacement (1))	q1(displacement (2))	q1(displacement (Magnitude))	q1(strain(z,z))	q1(vtkOriginalPointIds)	q1(vtkValidPointMask)	q1(X)	q1(Y)	q1(Z)	q3(attribute)	q3(displacement (0))	q3(displacement (1))	q3(displacement (2))	q3(displacement (Magnitude))	q3(strain(z,z))	q3(vtkOriginalPointIds)	q3(vtkValidPointMask)	q3(X)	q3(Y)	q3(Z)	std(attribute)	std(displacement (0))	std(displacement (1))	std(displacement (2))	std(displacement (Magnitude))	std(strain(z,z))	std(vtkOriginalPointIds)	std(vtkValidPointMask)	std(X)	std(Y)	std(Z)	sum(attribute)	sum(displacement (0))	sum(displacement (1))	sum(displacement (2))	sum(displacement (Magnitude))	sum(strain(z,z))	sum(vtkOriginalPointIds)	sum(vtkValidPointMask)	sum(X)	sum(Y)	sum(Z)	Time	vtkValidPointMask
stats	0	1.000000e+00	-5.930518e-04	-4.780666e-07	1.526265e-04	6.123769e-04	3.850341e-06	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-5.930518e-04	-4.780666e-07	1.526265e-04	6.123769e-04	3.850341e-06	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-5.930518e-04	-4.780666e-07	1.526265e-04	6.123769e-04	3.850341e-06	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-5.930518e-04	-4.780666e-07	1.526265e-04	6.123769e-04	3.850341e-06	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-5.930518e-04	-4.780666e-07	1.526265e-04	6.123769e-04	3.850341e-06	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-5.930518e-04	-4.780666e-07	1.526265e-04	6.123769e-04	3.850341e-06	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-5.930518e-04	-4.780666e-07	1.526265e-04	6.123769e-04	3.850341e-06	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	1
stats	1	1.000000e+00	-1.664524e-03	3.655203e-08	4.278105e-04	1.718622e-03	1.069700e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.664524e-03	3.655203e-08	4.278105e-04	1.718622e-03	1.069700e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.664524e-03	3.655203e-08	4.278105e-04	1.718622e-03	1.069700e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.664524e-03	3.655203e-08	4.278105e-04	1.718622e-03	1.069700e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-1.664524e-03	3.655203e-08	4.278105e-04	1.718622e-03	1.069700e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.664524e-03	3.655203e-08	4.278105e-04	1.718622e-03	1.069700e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.664524e-03	3.655203e-08	4.278105e-04	1.718622e-03	1.069700e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	9.400000e-03	1
stats	2	1.000000e+00	-3.000224e-03	-4.167867e-07	7.697820e-04	3.097404e-03	1.973919e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-3.000224e-03	-4.167867e-07	7.697820e-04	3.097404e-03	1.973919e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-3.000224e-03	-4.167867e-07	7.697820e-04	3.097404e-03	1.973919e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-3.000224e-03	-4.167867e-07	7.697820e-04	3.097404e-03	1.973919e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-3.000224e-03	-4.167867e-07	7.697820e-04	3.097404e-03	1.973919e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-3.000224e-03	-4.167867e-07	7.697820e-04	3.097404e-03	1.973919e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-3.000224e-03	-4.167867e-07	7.697820e-04	3.097404e-03	1.973919e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1.890000e-02	1
stats	3	1.000000e+00	-4.698289e-03	-4.140786e-07	1.202985e-03	4.849855e-03	3.136633e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-4.698289e-03	-4.140786e-07	1.202985e-03	4.849855e-03	3.136633e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-4.698289e-03	-4.140786e-07	1.202985e-03	4.849855e-03	3.136633e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-4.698289e-03	-4.140786e-07	1.202985e-03	4.849855e-03	3.136633e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-4.698289e-03	-4.140786e-07	1.202985e-03	4.849855e-03	3.136633e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-4.698289e-03	-4.140786e-07	1.202985e-03	4.849855e-03	3.136633e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-4.698289e-03	-4.140786e-07	1.202985e-03	4.849855e-03	3.136633e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	2.830000e-02	1
stats	4	1.000000e+00	-6.439620e-03	-2.264600e-07	1.644972e-03	6.646400e-03	4.119749e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-6.439620e-03	-2.264600e-07	1.644972e-03	6.646400e-03	4.119749e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-6.439620e-03	-2.264600e-07	1.644972e-03	6.646400e-03	4.119749e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-6.439620e-03	-2.264600e-07	1.644972e-03	6.646400e-03	4.119749e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-6.439620e-03	-2.264600e-07	1.644972e-03	6.646400e-03	4.119749e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-6.439620e-03	-2.264600e-07	1.644972e-03	6.646400e-03	4.119749e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-6.439620e-03	-2.264600e-07	1.644972e-03	6.646400e-03	4.119749e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	3.780000e-02	1
stats	5	1.000000e+00	-8.296417e-03	3.277575e-07	2.113954e-03	8.561503e-03	5.126911e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-8.296417e-03	3.277575e-07	2.113954e-03	8.561503e-03	5.126911e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-8.296417e-03	3.277575e-07	2.113954e-03	8.561503e-03	5.126911e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-8.296417e-03	3.277575e-07	2.113954e-03	8.561503e-03	5.126911e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-8.296417e-03	3.277575e-07	2.113954e-03	8.561503e-03	5.126911e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-8.296417e-03	3.277575e-07	2.113954e-03	8.561503e-03	5.126911e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-8.296417e-03	3.277575e-07	2.113954e-03	8.561503e-03	5.126911e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	4.720000e-02	1
stats	6	1.000000e+00	-1.039501e-02	-2.717905e-06	2.644115e-03	1.072603e-02	6.658661e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.039501e-02	-2.717905e-06	2.644115e-03	1.072603e-02	6.658661e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.039501e-02	-2.717905e-06	2.644115e-03	1.072603e-02	6.658661e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.039501e-02	-2.717905e-06	2.644115e-03	1.072603e-02	6.658661e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-1.039501e-02	-2.717905e-06	2.644115e-03	1.072603e-02	6.658661e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.039501e-02	-2.717905e-06	2.644115e-03	1.072603e-02	6.658661e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.039501e-02	-2.717905e-06	2.644115e-03	1.072603e-02	6.658661e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	5.670000e-02	1
stats	7	1.000000e+00	-1.243888e-02	1.511385e-06	3.155248e-03	1.283282e-02	7.948920e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.243888e-02	1.511385e-06	3.155248e-03	1.283282e-02	7.948920e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.243888e-02	1.511385e-06	3.155248e-03	1.283282e-02	7.948920e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.243888e-02	1.511385e-06	3.155248e-03	1.283282e-02	7.948920e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-1.243888e-02	1.511385e-06	3.155248e-03	1.283282e-02	7.948920e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.243888e-02	1.511385e-06	3.155248e-03	1.283282e-02	7.948920e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.243888e-02	1.511385e-06	3.155248e-03	1.283282e-02	7.948920e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	6.610000e-02	1
stats	8	1.000000e+00	-1.452738e-02	-5.808099e-07	3.677603e-03	1.498564e-02	8.877626e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.452738e-02	-5.808099e-07	3.677603e-03	1.498564e-02	8.877626e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.452738e-02	-5.808099e-07	3.677603e-03	1.498564e-02	8.877626e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.452738e-02	-5.808099e-07	3.677603e-03	1.498564e-02	8.877626e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-1.452738e-02	-5.808099e-07	3.677603e-03	1.498564e-02	8.877626e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.452738e-02	-5.808099e-07	3.677603e-03	1.498564e-02	8.877626e-05	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.452738e-02	-5.808099e-07	3.677603e-03	1.498564e-02	8.877626e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	7.560000e-02	1
stats	9	1.000000e+00	-1.663817e-02	1.541261e-06	4.204537e-03	1.716120e-02	1.083090e-04	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.663817e-02	1.541261e-06	4.204537e-03	1.716120e-02	1.083090e-04	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.663817e-02	1.541261e-06	4.204537e-03	1.716120e-02	1.083090e-04	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.663817e-02	1.541261e-06	4.204537e-03	1.716120e-02	1.083090e-04	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1.000000e+00	1	-1.663817e-02	1.541261e-06	4.204537e-03	1.716120e-02	1.083090e-04	0	1	6.350000e+00	0.000000e+00	4.100000e+01	1	-1.663817e-02	1.541261e-06	4.204537e-03	1.716120e-02	1.083090e-04	0	1	6.350000e+00	0.000000e+00	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.663817e-02	1.541261e-06	4.204537e-03	1.716120e-02	1.083090e-04	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.100000e+01	8.500000e-02	1
