Block Name	Row ID	avg(attribute)	avg(displacement (0))	avg(displacement (1))	avg(displacement (2))	avg(displacement (Magnitude))	avg(strain(z,z))	avg(vtkOriginalPointIds)	avg(vtkValidPointMask)	avg(X)	avg(Y)	avg(Z)	max(attribute)	max(displacement (0))	max(displacement (1))	max(displacement (2))	max(displacement (Magnitude))	max(strain(z,z))	max(vtkOriginalPointIds)	max(vtkValidPointMask)	max(X)	max(Y)	max(Z)	med(attribute)	med(displacement (0))	med(displacement (1))	med(displacement (2))	med(displacement (Magnitude))	med(strain(z,z))	med(vtkOriginalPointIds)	med(vtkValidPointMask)	med(X)	med(Y)	med(Z)	min(attribute)	min(displacement (0))	min(displacement (1))	min(displacement (2))	min(displacement (Magnitude))	min(strain(z,z))	min(vtkOriginalPointIds)	min(vtkValidPointMask)	min(X)	min(Y)	min(Z)	N	q1(attribute)	q1(displacement (0))	q1(displacement (1))	q1(displacement (2))	q1(displacement (Magnitude))	q1(strain(z,z))	q1(vtkOriginalPointIds)	q1(vtkValidPointMask)	q1(X)	q1(Y)	q1(Z)	q3(attribute)	q3(displacement (0))	q3(displacement (1))	q3(displacement (2))	q3(displacement (Magnitude))	q3(strain(z,z))	q3(vtkOriginalPointIds)	q3(vtkValidPointMask)	q3(X)	q3(Y)	q3(Z)	std(attribute)	std(displacement (0))	std(displacement (1))	std(displacement (2))	std(displacement (Magnitude))	std(strain(z,z))	std(vtkOriginalPointIds)	std(vtkValidPointMask)	std(X)	std(Y)	std(Z)	sum(attribute)	sum(displacement (0))	sum(displacement (1))	sum(displacement (2))	sum(displacement (Magnitude))	sum(strain(z,z))	sum(vtkOriginalPointIds)	sum(vtkValidPointMask)	sum(X)	sum(Y)	sum(Z)	Time	vtkValidPointMask
stats	0	1.000000e+00	-6.373156e-04	-3.989031e-07	1.584387e-04	6.567146e-04	3.804763e-06	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.373156e-04	-3.989031e-07	1.584387e-04	6.567146e-04	3.804763e-06	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.373156e-04	-3.989031e-07	1.584387e-04	6.567146e-04	3.804763e-06	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.373156e-04	-3.989031e-07	1.584387e-04	6.567146e-04	3.804763e-06	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-6.373156e-04	-3.989031e-07	1.584387e-04	6.567146e-04	3.804763e-06	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.373156e-04	-3.989031e-07	1.584387e-04	6.567146e-04	3.804763e-06	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-6.373156e-04	-3.989031e-07	1.584387e-04	6.567146e-04	3.804763e-06	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	1
stats	1	1.000000e+00	-1.788782e-03	1.069639e-07	4.434852e-04	1.842938e-03	1.033924e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788782e-03	1.069639e-07	4.434852e-04	1.842938e-03	1.033924e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788782e-03	1.069639e-07	4.434852e-04	1.842938e-03	1.033924e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788782e-03	1.069639e-07	4.434852e-04	1.842938e-03	1.033924e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-1.788782e-03	1.069639e-07	4.434852e-04	1.842938e-03	1.033924e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788782e-03	1.069639e-07	4.434852e-04	1.842938e-03	1.033924e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.788782e-03	1.069639e-07	4.434852e-04	1.842938e-03	1.033924e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	9.400000e-03	1
stats	2	1.000000e+00	-3.224682e-03	-8.297987e-08	7.978372e-04	3.321915e-03	1.920379e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-3.224682e-03	-8.297987e-08	7.978372e-04	3.321915e-03	1.920379e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-3.224682e-03	-8.297987e-08	7.978372e-04	3.321915e-03	1.920379e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-3.224682e-03	-8.297987e-08	7.978372e-04	3.321915e-03	1.920379e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-3.224682e-03	-8.297987e-08	7.978372e-04	3.321915e-03	1.920379e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-3.224682e-03	-8.297987e-08	7.978372e-04	3.321915e-03	1.920379e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-3.224682e-03	-8.297987e-08	7.978372e-04	3.321915e-03	1.920379e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1.890000e-02	1
stats	3	1.000000e+00	-5.049612e-03	-2.904264e-07	1.246354e-03	5.201152e-03	3.064839e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-5.049612e-03	-2.904264e-07	1.246354e-03	5.201152e-03	3.064839e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-5.049612e-03	-2.904264e-07	1.246354e-03	5.201152e-03	3.064839e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-5.049612e-03	-2.904264e-07	1.246354e-03	5.201152e-03	3.064839e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-5.049612e-03	-2.904264e-07	1.246354e-03	5.201152e-03	3.064839e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-5.049612e-03	-2.904264e-07	1.246354e-03	5.201152e-03	3.064839e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-5.049612e-03	-2.904264e-07	1.246354e-03	5.201152e-03	3.064839e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	2.830000e-02	1
stats	4	1.000000e+00	-6.921131e-03	-1.368232e-07	1.705487e-03	7.128165e-03	4.067703e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.921131e-03	-1.368232e-07	1.705487e-03	7.128165e-03	4.067703e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.921131e-03	-1.368232e-07	1.705487e-03	7.128165e-03	4.067703e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.921131e-03	-1.368232e-07	1.705487e-03	7.128165e-03	4.067703e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-6.921131e-03	-1.368232e-07	1.705487e-03	7.128165e-03	4.067703e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-6.921131e-03	-1.368232e-07	1.705487e-03	7.128165e-03	4.067703e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-6.921131e-03	-1.368232e-07	1.705487e-03	7.128165e-03	4.067703e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	3.780000e-02	1
stats	5	1.000000e+00	-8.918413e-03	1.072570e-06	2.192014e-03	9.183845e-03	4.998799e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-8.918413e-03	1.072570e-06	2.192014e-03	9.183845e-03	4.998799e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-8.918413e-03	1.072570e-06	2.192014e-03	9.183845e-03	4.998799e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-8.918413e-03	1.072570e-06	2.192014e-03	9.183845e-03	4.998799e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-8.918413e-03	1.072570e-06	2.192014e-03	9.183845e-03	4.998799e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-8.918413e-03	1.072570e-06	2.192014e-03	9.183845e-03	4.998799e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-8.918413e-03	1.072570e-06	2.192014e-03	9.183845e-03	4.998799e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	4.720000e-02	1
stats	6	1.000000e+00	-1.117202e-02	-1.636130e-06	2.741912e-03	1.150357e-02	6.555322e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.117202e-02	-1.636130e-06	2.741912e-03	1.150357e-02	6.555322e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.117202e-02	-1.636130e-06	2.741912e-03	1.150357e-02	6.555322e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.117202e-02	-1.636130e-06	2.741912e-03	1.150357e-02	6.555322e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-1.117202e-02	-1.636130e-06	2.741912e-03	1.150357e-02	6.555322e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.117202e-02	-1.636130e-06	2.741912e-03	1.150357e-02	6.555322e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.117202e-02	-1.636130e-06	2.741912e-03	1.150357e-02	6.555322e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	5.670000e-02	1
stats	7	1.000000e+00	-1.336798e-02	3.736961e-07	3.270405e-03	1.376221e-02	7.961403e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.336798e-02	3.736961e-07	3.270405e-03	1.376221e-02	7.961403e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.336798e-02	3.736961e-07	3.270405e-03	1.376221e-02	7.961403e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.336798e-02	3.736961e-07	3.270405e-03	1.376221e-02	7.961403e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-1.336798e-02	3.736961e-07	3.270405e-03	1.376221e-02	7.961403e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.336798e-02	3.736961e-07	3.270405e-03	1.376221e-02	7.961403e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.336798e-02	3.736961e-07	3.270405e-03	1.376221e-02	7.961403e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	6.610000e-02	1
stats	8	1.000000e+00	-1.561020e-02	3.465022e-08	3.814606e-03	1.606952e-02	8.068780e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.561020e-02	3.465022e-08	3.814606e-03	1.606952e-02	8.068780e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.561020e-02	3.465022e-08	3.814606e-03	1.606952e-02	8.068780e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.561020e-02	3.465022e-08	3.814606e-03	1.606952e-02	8.068780e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-1.561020e-02	3.465022e-08	3.814606e-03	1.606952e-02	8.068780e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.561020e-02	3.465022e-08	3.814606e-03	1.606952e-02	8.068780e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.561020e-02	3.465022e-08	3.814606e-03	1.606952e-02	8.068780e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	7.560000e-02	1
stats	9	1.000000e+00	-1.788257e-02	8.803599e-07	4.359118e-03	1.840620e-02	9.022806e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788257e-02	8.803599e-07	4.359118e-03	1.840620e-02	9.022806e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788257e-02	8.803599e-07	4.359118e-03	1.840620e-02	9.022806e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788257e-02	8.803599e-07	4.359118e-03	1.840620e-02	9.022806e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1.000000e+00	1	-1.788257e-02	8.803599e-07	4.359118e-03	1.840620e-02	9.022806e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	1	-1.788257e-02	8.803599e-07	4.359118e-03	1.840620e-02	9.022806e-05	0	1	6.350000e+00	0.000000e+00	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.788257e-02	8.803599e-07	4.359118e-03	1.840620e-02	9.022806e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.250000e+01	8.500000e-02	1
