Block Name	Row ID	avg(attribute)	avg(displacement (0))	avg(displacement (1))	avg(displacement (2))	avg(displacement (Magnitude))	avg(strain(z,z))	avg(vtkOriginalPointIds)	avg(vtkValidPointMask)	avg(X)	avg(Y)	avg(Z)	max(attribute)	max(displacement (0))	max(displacement (1))	max(displacement (2))	max(displacement (Magnitude))	max(strain(z,z))	max(vtkOriginalPointIds)	max(vtkValidPointMask)	max(X)	max(Y)	max(Z)	med(attribute)	med(displacement (0))	med(displacement (1))	med(displacement (2))	med(displacement (Magnitude))	med(strain(z,z))	med(vtkOriginalPointIds)	med(vtkValidPointMask)	med(X)	med(Y)	med(Z)	min(attribute)	min(displacement (0))	min(displacement (1))	min(displacement (2))	min(displacement (Magnitude))	min(strain(z,z))	min(vtkOriginalPointIds)	min(vtkValidPointMask)	min(X)	min(Y)	min(Z)	N	q1(attribute)	q1(displacement (0))	q1(displacement (1))	q1(displacement (2))	q1(displacement (Magnitude))	q1(strain(z,z))	q1(vtkOriginalPointIds)	q1(vtkValidPointMask)	q1(X)	q1(Y)	q1(Z)	q3(attribute)	q3(displacement (0))	q3(displacement (1))	q3(displacement (2))	q3(displacement (Magnitude))	q3(strain(z,z))	q3(vtkOriginalPointIds)	q3(vtkValidPointMask)	q3(X)	q3(Y)	q3(Z)	std(attribute)	std(displacement (0))	std(displacement (1))	std(displacement (2))	std(displacement (Magnitude))	std(strain(z,z))	std(vtkOriginalPointIds)	std(vtkValidPointMask)	std(X)	std(Y)	std(Z)	sum(attribute)	sum(displacement (0))	sum(displacement (1))	sum(displacement (2))	sum(displacement (Magnitude))	sum(strain(z,z))	sum(vtkOriginalPointIds)	sum(vtkValidPointMask)	sum(X)	sum(Y)	sum(Z)	Time	vtkValidPointMask
stats	0	1.000000e+00	-6.832276e-04	-4.336674e-07	1.639615e-04	7.026262e-04	3.568169e-06	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-6.832276e-04	-4.336674e-07	1.639615e-04	7.026262e-04	3.568169e-06	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-6.832276e-04	-4.336674e-07	1.639615e-04	7.026262e-04	3.568169e-06	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-6.832276e-04	-4.336674e-07	1.639615e-04	7.026262e-04	3.568169e-06	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-6.832276e-04	-4.336674e-07	1.639615e-04	7.026262e-04	3.568169e-06	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-6.832276e-04	-4.336674e-07	1.639615e-04	7.026262e-04	3.568169e-06	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-6.832276e-04	-4.336674e-07	1.639615e-04	7.026262e-04	3.568169e-06	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	1
stats	1	1.000000e+00	-1.917762e-03	1.609874e-07	4.595618e-04	1.972057e-03	1.089705e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917762e-03	1.609874e-07	4.595618e-04	1.972057e-03	1.089705e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917762e-03	1.609874e-07	4.595618e-04	1.972057e-03	1.089705e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917762e-03	1.609874e-07	4.595618e-04	1.972057e-03	1.089705e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-1.917762e-03	1.609874e-07	4.595618e-04	1.972057e-03	1.089705e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917762e-03	1.609874e-07	4.595618e-04	1.972057e-03	1.089705e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.917762e-03	1.609874e-07	4.595618e-04	1.972057e-03	1.089705e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	9.400000e-03	1
stats	2	1.000000e+00	-3.456391e-03	-4.539624e-07	8.261133e-04	3.553745e-03	1.726629e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-3.456391e-03	-4.539624e-07	8.261133e-04	3.553745e-03	1.726629e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-3.456391e-03	-4.539624e-07	8.261133e-04	3.553745e-03	1.726629e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-3.456391e-03	-4.539624e-07	8.261133e-04	3.553745e-03	1.726629e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-3.456391e-03	-4.539624e-07	8.261133e-04	3.553745e-03	1.726629e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-3.456391e-03	-4.539624e-07	8.261133e-04	3.553745e-03	1.726629e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-3.456391e-03	-4.539624e-07	8.261133e-04	3.553745e-03	1.726629e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1.890000e-02	1
stats	3	1.000000e+00	-5.413261e-03	-8.575182e-07	1.291507e-03	5.565194e-03	3.009515e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-5.413261e-03	-8.575182e-07	1.291507e-03	5.565194e-03	3.009515e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-5.413261e-03	-8.575182e-07	1.291507e-03	5.565194e-03	3.009515e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-5.413261e-03	-8.575182e-07	1.291507e-03	5.565194e-03	3.009515e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-5.413261e-03	-8.575182e-07	1.291507e-03	5.565194e-03	3.009515e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-5.413261e-03	-8.575182e-07	1.291507e-03	5.565194e-03	3.009515e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-5.413261e-03	-8.575182e-07	1.291507e-03	5.565194e-03	3.009515e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	2.830000e-02	1
stats	4	1.000000e+00	-7.419906e-03	-9.914285e-08	1.766774e-03	7.627352e-03	4.296431e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-7.419906e-03	-9.914285e-08	1.766774e-03	7.627352e-03	4.296431e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-7.419906e-03	-9.914285e-08	1.766774e-03	7.627352e-03	4.296431e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-7.419906e-03	-9.914285e-08	1.766774e-03	7.627352e-03	4.296431e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-7.419906e-03	-9.914285e-08	1.766774e-03	7.627352e-03	4.296431e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-7.419906e-03	-9.914285e-08	1.766774e-03	7.627352e-03	4.296431e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-7.419906e-03	-9.914285e-08	1.766774e-03	7.627352e-03	4.296431e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	3.780000e-02	1
stats	5	1.000000e+00	-9.559807e-03	6.638056e-07	2.271637e-03	9.825999e-03	5.218162e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-9.559807e-03	6.638056e-07	2.271637e-03	9.825999e-03	5.218162e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-9.559807e-03	6.638056e-07	2.271637e-03	9.825999e-03	5.218162e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-9.559807e-03	6.638056e-07	2.271637e-03	9.825999e-03	5.218162e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-9.559807e-03	6.638056e-07	2.271637e-03	9.825999e-03	5.218162e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-9.559807e-03	6.638056e-07	2.271637e-03	9.825999e-03	5.218162e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-9.559807e-03	6.638056e-07	2.271637e-03	9.825999e-03	5.218162e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	4.720000e-02	1
stats	6	1.000000e+00	-1.197745e-02	-3.261339e-06	2.838379e-03	1.230918e-02	6.627141e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.197745e-02	-3.261339e-06	2.838379e-03	1.230918e-02	6.627141e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.197745e-02	-3.261339e-06	2.838379e-03	1.230918e-02	6.627141e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.197745e-02	-3.261339e-06	2.838379e-03	1.230918e-02	6.627141e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-1.197745e-02	-3.261339e-06	2.838379e-03	1.230918e-02	6.627141e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.197745e-02	-3.261339e-06	2.838379e-03	1.230918e-02	6.627141e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.197745e-02	-3.261339e-06	2.838379e-03	1.230918e-02	6.627141e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	5.670000e-02	1
stats	7	1.000000e+00	-1.433236e-02	6.250259e-07	3.389006e-03	1.472759e-02	7.588488e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.433236e-02	6.250259e-07	3.389006e-03	1.472759e-02	7.588488e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.433236e-02	6.250259e-07	3.389006e-03	1.472759e-02	7.588488e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.433236e-02	6.250259e-07	3.389006e-03	1.472759e-02	7.588488e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-1.433236e-02	6.250259e-07	3.389006e-03	1.472759e-02	7.588488e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.433236e-02	6.250259e-07	3.389006e-03	1.472759e-02	7.588488e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.433236e-02	6.250259e-07	3.389006e-03	1.472759e-02	7.588488e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	6.610000e-02	1
stats	8	1.000000e+00	-1.673640e-02	5.717863e-07	3.949753e-03	1.719616e-02	9.273157e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.673640e-02	5.717863e-07	3.949753e-03	1.719616e-02	9.273157e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.673640e-02	5.717863e-07	3.949753e-03	1.719616e-02	9.273157e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.673640e-02	5.717863e-07	3.949753e-03	1.719616e-02	9.273157e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-1.673640e-02	5.717863e-07	3.949753e-03	1.719616e-02	9.273157e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.673640e-02	5.717863e-07	3.949753e-03	1.719616e-02	9.273157e-05	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.673640e-02	5.717863e-07	3.949753e-03	1.719616e-02	9.273157e-05	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	7.560000e-02	1
stats	9	1.000000e+00	-1.917212e-02	9.689840e-07	4.513222e-03	1.969617e-02	1.068402e-04	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917212e-02	9.689840e-07	4.513222e-03	1.969617e-02	1.068402e-04	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917212e-02	9.689840e-07	4.513222e-03	1.969617e-02	1.068402e-04	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917212e-02	9.689840e-07	4.513222e-03	1.969617e-02	1.068402e-04	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1.000000e+00	1	-1.917212e-02	9.689840e-07	4.513222e-03	1.969617e-02	1.068402e-04	0	1	6.350000e+00	0.000000e+00	4.400000e+01	1	-1.917212e-02	9.689840e-07	4.513222e-03	1.969617e-02	1.068402e-04	0	1	6.350000e+00	0.000000e+00	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.917212e-02	9.689840e-07	4.513222e-03	1.969617e-02	1.068402e-04	0.000000e+00	1.000000e+00	6.350000e+00	0.000000e+00	4.400000e+01	8.500000e-02	1
